# rollout meta: {"joint_names": ["joint1", "joint2", "joint3", "joint4", "joint5", "joint6", "joint7"], "dt": 0.02, "n": 400, "source": "synthetic_clik", "note": "EE circle r=0.08 T=4.0s, tracking err max=0.01mm mean=0.01mm"}
t,q1,q2,q3,q4,q5,q6,q7,ee_x,ee_y,ee_z,tgt_x,tgt_y,tgt_z
2.700000,0.13119655,0.33227283,-0.61519305,0.03119627,-0.05273091,-0.00927382,0.00000000,0.350000,-0.036319,0.228719,0.350000,-0.036319,0.228719
2.720000,0.12541198,0.33109417,-0.61865902,0.03221005,-0.04859055,-0.00840721,0.00000000,0.350000,-0.034062,0.227614,0.350000,-0.034062,0.227614
2.740000,0.11947973,0.32995669,-0.62191281,0.03323813,-0.04431515,-0.00751306,0.00000000,0.350000,-0.031772,0.226580,0.350000,-0.031772,0.226580
2.760000,0.11340787,0.32886653,-0.62495145,0.03427996,-0.03991070,-0.00659257,0.00000000,0.350000,-0.029450,0.225618,0.350000,-0.029450,0.225618
2.780000,0.10720490,0.32782965,-0.62777218,0.03533496,-0.03538371,-0.00564706,0.00000000,0.350000,-0.027099,0.224730,0.350000,-0.027099,0.224730
2.800000,0.10087970,0.32685174,-0.63037244,0.03640250,-0.03074118,-0.00467797,0.00000000,0.350000,-0.024721,0.223915,0.350000,-0.024721,0.223915
2.820000,0.09444155,0.32593820,-0.63274991,0.03748190,-0.02599061,-0.00368682,0.00000000,0.350000,-0.022319,0.223177,0.350000,-0.022319,0.223177
2.840000,0.08790010,0.32509410,-0.63490246,0.03857243,-0.02113998,-0.00267522,0.00000000,0.350000,-0.019895,0.222513,0.350000,-0.019895,0.222513
2.860000,0.08126530,0.32432411,-0.63682815,0.03967333,-0.01619769,-0.00164487,0.00000000,0.350000,-0.017451,0.221927,0.350000,-0.017451,0.221927
2.880000,0.07454742,0.32363252,-0.63852527,0.04078381,-0.01117254,-0.00059758,0.00000000,0.350000,-0.014991,0.221417,0.350000,-0.014991,0.221417
2.900000,0.06775702,0.32302312,-0.63999228,0.04190303,-0.00607371,0.00046481,0.00000000,0.350000,-0.012515,0.220985,0.350000,-0.012515,0.220985
2.920000,0.06090486,0.32249925,-0.64122785,0.04303012,-0.00091072,0.00154035,0.00000000,0.350000,-0.010027,0.220631,0.350000,-0.010027,0.220631
2.940000,0.05400195,0.32206372,-0.64223083,0.04416420,0.00430664,0.00262706,0.00000000,0.350000,-0.007529,0.220355,0.350000,-0.007529,0.220355
2.960000,0.04705944,0.32171880,-0.64300027,0.04530437,0.00956834,0.00372290,0.00000000,0.350000,-0.005023,0.220158,0.350000,-0.005023,0.220158
2.980000,0.04008863,0.32146622,-0.64353539,0.04644972,0.01486413,0.00482579,0.00000000,0.350000,-0.002513,0.220039,0.350000,-0.002513,0.220039
3.000000,0.03310090,0.32130712,-0.64383561,0.04759932,0.02018363,0.00593363,0.00000000,0.350000,0.000000,0.220000,0.350000,-0.000000,0.220000
